               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11852,            0.012609,             0.06327,           0.0019114,             0.43465,            0.017331,           0.0039579,              0.1117,            0.011177,            0.060358,              0.0937,              0.0007,              0.0007
                   1,             0.10701,            0.015718,            0.061172,            0.002967,             0.73617,            0.011279,           0.0024514,            0.091796,            0.013465,            0.057806,            0.086497,            0.001497,            0.001497
                   2,            0.097308,            0.017308,            0.058772,           0.0038551,             0.94613,            0.019395,           0.0051772,            0.083225,            0.014389,            0.055886,            0.079291,           0.0022909,           0.0022909
                   3,            0.087115,            0.019677,            0.056453,           0.0038592,              0.9902,             0.14461,            0.034667,            0.075292,            0.014776,            0.053036,            0.072082,           0.0030816,           0.0030816
                   4,            0.079658,             0.02001,            0.054383,           0.0097597,             0.98958,             0.20362,             0.05533,            0.070075,            0.014426,            0.050428,            0.064869,           0.0038691,           0.0038691
                   5,            0.075317,            0.020488,            0.052262,             0.35277,            0.033333,             0.02404,            0.007006,            0.072744,            0.013468,            0.047939,            0.057653,           0.0046535,           0.0046535
                   6,            0.070922,            0.018118,            0.049643,              0.4263,             0.21667,             0.12731,            0.031264,            0.071133,             0.01259,            0.046589,            0.050435,           0.0054347,           0.0054347
                   7,            0.072962,            0.018029,            0.048067,             0.58535,                0.35,             0.35159,             0.11832,            0.064324,            0.012506,            0.045287,            0.043213,           0.0062127,           0.0062127
                   8,            0.067893,            0.017036,            0.048354,             0.25284,              0.3875,             0.13904,            0.058117,            0.069283,            0.011275,            0.043368,            0.035988,           0.0069875,           0.0069875
                   9,            0.068743,            0.019298,            0.046528,             0.44468,                 0.4,             0.28364,             0.11895,            0.072986,            0.010661,             0.04189,            0.028759,           0.0077592,           0.0077592
                  10,            0.071517,            0.018424,            0.045775,             0.45364,              0.5578,             0.55257,             0.12161,            0.070267,            0.010051,            0.039758,            0.021528,           0.0085277,           0.0085277
                  11,            0.071875,            0.016738,             0.04362,             0.59547,             0.61618,             0.67656,             0.30599,            0.065889,            0.010428,            0.036912,            0.014293,           0.0092931,           0.0092931
                  12,            0.066338,            0.018472,            0.043709,              0.6182,             0.61793,             0.67385,             0.27989,            0.054492,            0.012033,            0.035696,           0.0097624,           0.0097624,           0.0097624
                  13,            0.059257,            0.017217,            0.041914,             0.53576,             0.58449,             0.61011,             0.16476,             0.06734,             0.01033,            0.033038,           0.0097624,           0.0097624,           0.0097624
                  14,             0.06422,            0.017058,             0.03926,             0.56717,             0.67631,             0.73261,             0.34267,            0.058359,            0.010332,            0.030127,           0.0097426,           0.0097426,           0.0097426
                  15,            0.058037,            0.017913,            0.037617,             0.52537,             0.60694,             0.65511,             0.26308,            0.066466,           0.0091383,             0.02765,           0.0097228,           0.0097228,           0.0097228
                  16,            0.061938,            0.016447,            0.035792,             0.30452,             0.60364,              0.4717,             0.18187,            0.057606,           0.0098071,            0.025304,            0.009703,            0.009703,            0.009703
                  17,            0.054995,            0.015675,            0.033136,             0.51539,             0.71569,             0.74137,             0.26326,            0.054664,            0.009357,            0.023492,           0.0096832,           0.0096832,           0.0096832
                  18,            0.053405,            0.014382,            0.032689,             0.51007,             0.68734,             0.64253,             0.25194,            0.057401,            0.009634,            0.021377,           0.0096634,           0.0096634,           0.0096634
                  19,            0.055517,            0.015707,            0.031156,             0.58277,             0.71235,             0.71293,              0.2472,            0.057655,            0.009244,            0.019505,           0.0096436,           0.0096436,           0.0096436
                  20,             0.05594,            0.014094,            0.027512,             0.56929,             0.74878,             0.61809,             0.28105,            0.052082,           0.0092586,            0.018292,           0.0096238,           0.0096238,           0.0096238
                  21,            0.053725,            0.012685,            0.025687,             0.51208,              0.8644,              0.7633,             0.33567,            0.051578,           0.0083383,            0.017245,            0.009604,            0.009604,            0.009604
                  22,             0.05195,            0.013146,            0.023845,             0.51587,             0.86185,             0.67649,             0.32832,            0.051466,           0.0079679,            0.016006,           0.0095842,           0.0095842,           0.0095842
                  23,            0.052238,            0.011391,            0.024848,             0.63177,             0.87157,             0.76406,             0.40024,            0.043043,           0.0077354,            0.015019,           0.0095644,           0.0095644,           0.0095644
                  24,            0.050265,            0.012096,             0.02212,             0.44262,             0.80664,             0.63277,             0.29069,            0.047752,           0.0076583,            0.014062,           0.0095446,           0.0095446,           0.0095446
                  25,            0.049406,            0.010761,            0.021808,             0.66764,             0.88737,             0.85489,             0.47557,            0.047751,            0.007194,            0.013316,           0.0095248,           0.0095248,           0.0095248
                  26,            0.052595,            0.011901,            0.021182,             0.70014,             0.88822,             0.81459,             0.36184,            0.049174,           0.0072344,            0.012501,            0.009505,            0.009505,            0.009505
                  27,            0.048677,            0.012173,            0.019624,             0.91878,             0.88752,                0.95,             0.49028,            0.047731,           0.0070506,            0.011872,           0.0094852,           0.0094852,           0.0094852
                  28,             0.05141,            0.011767,            0.019027,             0.75351,             0.95109,             0.91179,             0.44363,            0.045784,           0.0070264,            0.011419,           0.0094654,           0.0094654,           0.0094654
                  29,            0.047711,            0.011927,            0.017876,             0.80743,             0.95147,               0.937,             0.43569,            0.042871,            0.006935,            0.010936,           0.0094456,           0.0094456,           0.0094456
                  30,            0.044795,            0.011218,            0.017634,             0.89487,             0.92809,             0.96519,             0.56811,             0.04071,           0.0067046,             0.01025,           0.0094258,           0.0094258,           0.0094258
                  31,            0.047229,            0.010682,            0.015454,             0.80121,             0.92732,             0.94155,             0.56911,            0.037201,           0.0066287,           0.0097911,            0.009406,            0.009406,            0.009406
                  32,            0.043598,            0.010916,             0.01474,             0.79873,             0.91976,             0.93393,             0.52768,            0.035894,           0.0064825,           0.0094151,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04264,            0.010775,            0.014037,             0.88464,             0.93555,             0.95282,             0.51425,            0.040831,           0.0062576,           0.0090897,           0.0093664,           0.0093664,           0.0093664
                  34,            0.045804,            0.010337,            0.014396,             0.91398,             0.98055,             0.96683,             0.60568,            0.035402,           0.0061827,           0.0090514,           0.0093466,           0.0093466,           0.0093466
                  35,             0.04149,           0.0096691,            0.014839,             0.85331,             0.94006,             0.92751,             0.49854,            0.038322,            0.006016,           0.0085077,           0.0093268,           0.0093268,           0.0093268
                  36,            0.043262,            0.010152,            0.013697,             0.88954,             0.93657,             0.97859,             0.55783,            0.038642,           0.0059656,           0.0083646,            0.009307,            0.009307,            0.009307
                  37,            0.046808,           0.0094521,            0.013794,             0.90817,             0.97462,             0.97871,             0.65533,            0.033511,           0.0059274,           0.0082879,           0.0092872,           0.0092872,           0.0092872
                  38,            0.041735,            0.010234,            0.012685,             0.92628,             0.97994,             0.98288,             0.57563,            0.037185,            0.005908,           0.0079626,           0.0092674,           0.0092674,           0.0092674
                  39,            0.045237,            0.009276,            0.011523,             0.87575,             0.96684,             0.97811,             0.64796,            0.032818,           0.0057717,           0.0076055,           0.0092476,           0.0092476,           0.0092476
                  40,            0.043134,            0.010375,            0.011368,             0.92801,             0.99493,             0.98615,             0.63404,             0.03374,           0.0058041,           0.0071163,           0.0092278,           0.0092278,           0.0092278
                  41,            0.040332,           0.0093775,            0.012461,             0.86409,             0.98661,             0.96728,             0.63417,            0.031238,           0.0058629,           0.0068247,            0.009208,            0.009208,            0.009208
                  42,             0.03842,           0.0098632,            0.011092,             0.83698,             0.95382,             0.93919,             0.60455,            0.033979,            0.005848,           0.0064447,           0.0091882,           0.0091882,           0.0091882
